start_dt,match_type,rule,map_type,map,cost,result,medi_rating,num_member,num_ally_raid,num_ally_general,num_ally_support,num_ally_disconnect,num_enemy_raid,num_enemy_general,num_enemy_support,num_enemy_disconnect,ally_team,my_ms,my_category,new_rating,result_rival,score,assist,damage,diversion,defeat_cnt,loss_cnt,chase_assist
2021-08-20T00:53:50.926905,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,3,2,0,1,3,1,1,team_a,フルアーマーガンダム［タイプB］,支援,2608,win,2775,900,82428,0.1348,3,0,25100
2021-08-20T01:06:01.307791,レーティングマッチ,ベーシック,地上,廃墟都市,600,lose,A+,6,1,2,3,0,1,3,2,0,team_a,フルアーマーガンダム［タイプB］,支援,2593,lose,2355,1080,65225,,2,3,7400
2021-08-20T01:17:49.603282,レーティングマッチ,ベーシック,地上,廃墟都市,600,win,A+,6,1,2,3,0,1,3,2,0,team_a,メタス改,支援,2600,lose,3219,720,70207,0.1428,3,3,9100
2021-08-20T23:23:58.428245,レーティングマッチ,ベーシック,宇宙,廃墟コロニー,650,win,A,6,1,4,1,0,0,4,2,0,team_b,トーリス・リッター,汎用,2442,lose,4093,768,71304,0.1214,4,3,10700
2021-08-20T23:35:15.824241,レーティングマッチ,ベーシック,地上,廃墟都市,500,win,S-,6,1,4,1,0,1,4,1,0,team_a,ネモⅢ,支援,2611,win,1125,600,55200,0.17,1,4,12900
2021-08-20T23:46:24.529752,レーティングマッチ,ベーシック,地上,廃墟都市,500,lose,A,6,1,4,1,0,1,4,1,0,team_a,ジム・ナイトシーカー（V）,強襲,2594,lose,2325,600,66488,0.1416,3,4,22200
2021-08-20T23:57:43.620934,レーティングマッチ,ベーシック,地上,廃墟都市,500,win,A+,6,1,4,1,0,1,4,1,0,team_a,高機動型ゲルググ（VG）,汎用,2611,win,2250,1200,87743,0.1763,2,2,26100
2021-08-21T00:10:03.107520,レーティングマッチ,エースマッチ,地上,廃墟都市,600,win,A+,6,1,3,2,0,1,4,1,0,team_a,フルアーマーガンダム［タイプB］,支援,2620,lose,2020,720,79057,0.1296,2,1,7600
2021-08-21T00:44:03.847922,レーティングマッチ,エースマッチ,地上,廃墟都市,600,win,A+,6,1,3,2,0,1,4,1,0,team_b,フルアーマーガンダム［タイプB］,支援,2614,win,2490,540,82028,0.1665,3,2,18700
2021-08-21T01:17:41.894321,レーティングマッチ,エースマッチ,地上,廃墟都市,600,win,A+,6,2,3,1,0,2,2,2,0,team_a,ハンマ・ハンマ,支援,2625,win,8615,540,69552,0.1599,7,1,17400
2021-08-21T01:25:15.162932,レーティングマッチ,エースマッチ,地上,廃墟都市,600,win,A+,6,2,3,1,0,1,4,1,0,team_a,リ・ガズィ・カスタム,汎用,2625,win,8615,540,69552,0.1599,7,1,17400
2021-08-21T01:51:27.056821,レーティングマッチ,エースマッチ,地上,廃墟都市,600,win,A+,6,1,4,1,0,1,4,1,0,team_b,ハンブラビ,強襲,2654,win,4175,900,96392,0.1203,5,1,14100
2021-08-21T02:02:39.299065,レーティングマッチ,エースマッチ,地上,北極基地,550,win,A+,5,1,3,1,0,1,3,1,0,team_a,零式弐型（AR）,支援,2663,lose,1645,495,64023,0.1615,2,3,10700
2021-08-21T02:15:30.531081,レーティングマッチ,エースマッチ,地上,北極基地,550,win,A,5,1,3,1,0,1,4,0,0,team_b,ドライセン,汎用,2675,win,3365,990,89831,0.1321,4,3,11800
2021-08-21T02:27:24.313484,レーティングマッチ,エースマッチ,地上,北極基地,550,lose,A+,5,1,3,1,0,1,3,1,0,team_b,ドライセン,汎用,2660,lose,5290,165,94190,0.1771,7,3,9300
2021-08-21T02:44:03.174484,レーティングマッチ,ベーシック,宇宙,資源衛星,300,lose,A,5,1,3,1,0,1,3,1,0,team_a,ドラッツェ,強襲,2433,win,2545,270,78755,0.2055,7,4,27600
2021-08-22T21:34:44.629919,レーティングマッチ,ベーシック,地上,北極基地,700,win,A+,5,0,4,1,0,0,4,1,0,team_a,Ζガンダム［HML］,支援,2562,win,3027,1656,109785,0.1786,1,3,11700
2021-08-22T21:46:59.557501,レーティングマッチ,ベーシック,地上,北極基地,700,lose,A+,5,0,4,1,0,0,4,1,0,team_b,νガンダム,汎用,2553,win,4403,828,101745,0.1767,5,3,12000
2021-08-22T21:59:32.391777,レーティングマッチ,ベーシック,地上,北極基地,700,lose,A+,5,0,4,1,0,1,4,0,0,team_a,νガンダム,汎用,2538,lose,5088,630,109938,0.2099,5,3,10000
2021-08-22T22:23:56.150834,レーティングマッチ,ベーシック,地上,廃墟都市,650,win,A,6,1,4,1,0,1,4,1,0,team_b,ジ・O,汎用,2568,win,4305,780,142482,0.1322,5,1,24100
2021-08-22T22:39:11.133033,レーティングマッチ,エースマッチ,地上,北極基地,550,lose,A,5,1,3,1,0,1,3,1,0,team_b,零式弐型（AR）,支援,2557,win,3980,1155,90658,0.247,3,4,12400
